Item.name,Item.batch,Item.package_factor,Item.provider
2 AMINO- 2 METIL PROPANOL,S4888365,13 X 1 LT,MERCK
ACIDO AZELAICO,S5196516,1 X 1 KG,MERCK
ACIDO ADIPICO,K38488590,20 x 25 kg,MERCK
ACIDO BENZOICO POLVO,k39713330 ,1 x 25 kg,MERCK
ACIDO CITRICO MONOH,K92915842,2 x 25 kg,MERCK
ACIDO GLICOLICO,L59097806,1 X 100 KG,MERCK
ACIDO GLICOLICO,S6029086,1 X 10 KG,MERCK
ACIDO DL MANDELICO,S6216613,4 X 1 KG,MERCK
ACIDO SILICICO,F1534456,1 X 1KG,MERCK
AGAR ENDO,VM8311944,1X6 UNIDS,MERCK
AGAR NUTRITIVO,VM773750,2 X 6 UNIDS+3,MERCK
ALUMINIO CLORURO,B0543284,1 X 1 KG,MERCK
BLEND FRUIT PLUS,1,1  X 9 KG,MERCK
BUTILHIDROXITOLUENO,K41349874,1 X 5 KG,MERCK
CALCIO CARBONATO PPT,K35229769,1 X 1 KG,MERCK
CALDO CASO,VM939059,1X6 UNIDS,MERCK
CALDO TIOGLICOLATO,VM882690,6X500 GM,MERCK
DODECILO SULFATO,S6042750,1 X 6 UNIDS,MERCK
DODECILO SULFATO,S6131550,7 X 6 UNIDS,MERCK
EUSOLEX 4360,K92128676B,2 x 2.5 kg,MERCK
EUSOLEX 9020,5844B272,5 X 1 KG,MERCK
EDTA (CRISTAL),100527,2 x 25 KG,MERCK
HIDROQUINONA,K1166033,6 X 1 KG,MERCK
EXTRACTO DE LEVADURAS,1,5 X 10 KG       Y       1 X 9 KG,MERCK
LIPOSOMA DE CASTAÃ‘O DE INDIAS,1,6 X 10 KG,MERCK
LIPOSOMA DE CENTELLA ASIATICA,1,6 X 10 KG,MERCK
LIPOSOMA DE GINKOBILOBA,1,5 X 1 KG,MERCK
MAGNESIO CLORURO,A0265362,16 X 25 KG,MERCK
METILO-4-HIDROXIBENZOATO,K41356957,15 X 20 KG,MERCK
PROCAINA CLORHIDRATO,K39743667,5 UNIDS X 1 KG ,MERCK
REPELENTE INSECTIFUGO 3535,1887C205,1 X 20 KG,MERCK
REPELENTE INSECTIFUGO 3535,1887D206,4 X 25 KG,MERCK
REPELENTE INSECTIFUGO 3535,1887B203,1 25 KG,MERCK
RONACARE CPC,K93007140,4 X 25 KG,MERCK
SODIO TIOSULFATO,HC067959,4 X 1 L,MERCK
SODIO ACETA ANHIDRO EXTRAPURO,A902536,1 x 25 kg,MERCK
SODIO HIDROXIDO LENTEJAS,B0599682,1 X 50 KG,MERCK
SODIO DISULFITO,k4171157,1 X 5 KG,MERCK
TRISODIO CITRATO,K41236337,2 x 25 kg,MERCK
TRICLORO METILPROPANOL,K39254005,40 X 1 KG,MERCK
M-PYROL,.05800215858,"1 X 208,7",ISP
ALBE-TAB IBUPROFEN USP 90,ALB90-0022,,ALBERMALE
EZ-TAB IBUPROFEN USP 85,EZ85-0001,,ALBERMALE
EZ-TAB IBUPROFEN USP 85,EZ85-0002,,ALBERMALE
IBUPROFEN USP/EP 40 GRADE,4050-1185,,ALBERMALE
KELCOGEL CG-LA,8K4729A,4 X 25 KG,CP KELCO
XANTURAL  11K,0L0936K,4 X 25 KG,CP KELCO
KELTROL CG-SFT,1F2195K,10 X 25 KG,CP KELCO
CEKOL 50000,AA6099393,2 X 20 KG,CP KELCO
KELTROL CG-T,IE2047K,15 X 25 KG,CP KELCO
KELZAN ASX,IA9878A,24 X 25 KG,CP KELCO
AMISOL SOFT,730203,2X 25 KG,BIONOVA  / EXSYMOL
BIOPHILIC S,811906,1 X 25 KG,BIONOVA  / EXSYMOL
HELIOGEL,907502,6 X 30 KG,BIONOVA  / EXSYMOL
ALGISIUM,.0112.11,4 X 30 KG,BIONOVA  / EXSYMOL
ALGISIUM,0155.10,1 X 10 KG,BIONOVA  / EXSYMOL
ALBATIN,.008009,2 X 1 KG,BIONOVA  / EXSYMOL
THEOPHYLLISILANE C    ,.5036.11,4 X 30 KG,BIONOVA  / EXSYMOL
THEOPHYLLISILANE C  ,.501111,1 X 30 KG,BIONOVA  / EXSYMOL
ALISTIN,.030310,1 X 1 KG,BIONOVA  / EXSYMOL
ASCORBISILANE C ,.035010,2 X 5 KG,BIONOVA  / EXSYMOL
ASCORBISILANE C ,.035010,1 X 1 KG,BIONOVA  / EXSYMOL
CAFEISILANE C,.0071.11,2 X 30 KG,BIONOVA  / EXSYMOL
HYDROXYPROLISILNE CN,.0143.11,9 X 30 KG,BIONOVA  / EXSYMOL
BIO-PROTEINOL,IA11001,6 X 20 KG,JAN DEKKER
BIO-PROTEINOL,IA11001,8 X 10 KG,JAN DEKKER
DEKLURON,900884,3 X 5 KG,JAN DEKKER
DEKABEN C,100949,1 X 10 KG,JAN DEKKER
DEKABEN C,101044,18 X 25 KG,JAN DEKKER
RESVERATROX 2 %,ROB 238-08,"1 X 6,5",JAN DEKKER
NEOFECT 301,900547,1 X 25 KG,JAN DEKKER
OLEA EUROPEA OIL,6009G10/01,10 X 25 KG,JAN DEKKER
PRUNUS AMIGDALUS,6052G10-04,1 X 190 KG,JAN DEKKER
PRUNUS AMIGDALUS,6052G10-04,2 X 25 KG,JAN DEKKER
RICINUS COMMINIS OIL,JP/048/10/10,20 X25 KG,JAN DEKKER
SHEA BUTTER,31094,4 X 25 KG,JAN DEKKER
GRAPE SEED OIL,063/09,5 X 3 KG,JAN DEKKER
ACEITE MACAMIDA,6022D11/02,1 X 30 KG,JAN DEKKER
KOJIC ACID,20090908,,ALFHA TRAIDING
KOJIC ACID 99% ,20100227,1,ALFHA TRAIDING
PIRIDOXINA HCL,161653,,ALFHA TRAIDING
RIVOFLAVINA 5-FOSFATO,141600,,ALFHA TRAIDING
MOTOR ,RW 20 ,4,IKA
"STIRRING ELEMENT,PROPELLER,",R1342,4,IKA
"STAND,PLATE",R1822,4,IKA
"BOSSHEAD,COMPL",R182,4,IKA
"CLAMP,STRAP,",RH3,4,IKA
"STIRRING ELEMENT,ANCHOR,",,,IKA
"STIRRING ELEMENT,TURBINE,R1312",,,IKA
"STIRRING ELEMENT,PROPELLER,R1345",,,IKA
"STIRRING ELEMENT,DISSOLVING,R1300",,,IKA
"STIRRING ELEMENT,TURBINE,R1311",,,IKA
"STIRRING ELEMENT,PADDLE,R1375",,,IKA
ACIDO CITRICO ,GA9D22AG7D,2 X 25 KG ,VARIOS
ACIDO CITRICO ,GA9D23AG7D,2 X 25 KG,VARIOS
ACIDO ESTEARICO 3 PRENSADO,SA 80163,"1 X 24,20",VARIOS
ACIDO ESTEARICO,SA 90094,"1 X 25 KG      Y       1 X 19,50",VARIOS
ACIDO ESTEARICO 3 PRENSADO,SA 90123,4 X 25 KG,VARIOS
CICLOHEXANO,1484727,1 X 1 KG,VARIOS
GENAPOL LRO PASTA,VEAC047283,2 X 210 KG,VARIOS
MAGNESIO ESTEARATO,MGS- 80556,9 X 15 KG,VARIOS
MAGNESIO ESTEARATO,MGS-100319,4 X 15 KG,VARIOS
MAGNESIO ESTEARATO,MGS- 80512,12 X 15 KG,VARIOS
NIPASOL /PROPIL PARABEN,GBG0007767,1 CAJA X 25 KG,VARIOS
NIPAGIN ,GBG0022181,14 X 25 KG,VARIOS
PROCAINA ,K39743667,2 UNIDS X 1 KG ,VARIOS
PUROL 90,V-9-021-11,3 X 176 KG,VARIOS
SODIO CITRATO,GC9E02AG7D,1 X 25 KG,VARIOS
TALCO CAM 1025,211002,41 X 22 KG,VARIOS
TWEEN 80,.0000352160,1 TAMBOR X 220 KG,VARIOS
ZINC ESTEARATO,ZNN110055,5 X ,VARIOS
